customer10,respond,price,,,
1.15,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.1,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.05,0,0,,,
1.2,1,1,,,
1.1,1,1,,,
1.05,1,1,,,
1,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.15,1,1,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.1,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1,0,0,,,
1,0,0,,,
1,0,0,,,
1.1,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.15,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1,1,1,,,
1,0,0,,,
1.2,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.15,1,1,,,
1.1,1,1,,,
1.1,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.1,1,1,,,
1.1,0,0,,,
1.15,0,0,,,
1.15,1,1,,,
1.15,0,0,,,
1,1,1,,,
1,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.1,1,1,,,
1.05,1,1,,,
1.05,1,1,,,
1.1,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,1,1,,,
1.05,1,1,,,
1,1,1,,,
1.1,0,0,,,
1.05,0,0,,,
1.15,1,1,,,
1.05,0,0,,,
1,0,0,,,
1.1,0,0,,,
1.1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.1,1,1,,,
1.1,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1,0,0,,,
1.1,0,0,,,
1.2,1,1,,,
1.1,0,0,,,
1,1,1,,,
1.2,0,0,,,
1,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1.1,1,1,,,
1,1,1,,,
1.05,0,0,,,
1.1,1,1,,,
1.1,0,0,,,
1,1,1,,,
1.05,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.1,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.05,1,1,,,
1.05,1,1,,,
1.15,0,0,,,
1.2,1,1,,,
1,1,1,,,
1.1,0,0,,,
1,0,0,,,
1,1,1,,,
1.15,1,1,,,
1.1,1,1,,,
1,1,1,,,
1.1,1,1,,,
1.15,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1.1,1,1,,,
1,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.1,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1,0,0,,,
1,1,1,,,
1.05,1,1,,,
1.05,0,0,,,
1.15,1,1,,,
1.1,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.2,1,1,,,
1.05,1,1,,,
1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.2,1,1,,,
1.15,0,0,,,
1.2,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.1,1,1,,,
1.2,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.15,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.05,0,0,,,
1,0,0,,,
1.05,1,1,,,
1,1,1,,,
1,0,0,,,
1.05,0,0,,,
1.15,1,1,,,
1.1,0,0,,,
1,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1.2,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.2,1,1,,,
1.05,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1,0,0,,,
1.15,1,1,,,
1.2,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.1,0,0,,,
1,1,1,,,
1.05,1,1,,,
1.1,1,1,,,
1,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.1,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.05,0,0,,,
1.2,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.05,1,1,,,
1.1,0,0,,,
1.05,1,1,,,
1.1,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.2,1,1,,,
1.05,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1,1,1,,,
1.1,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.05,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.05,1,1,,,
1.05,1,1,,,
1,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,1,1,,,
1,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.1,1,1,,,
1.1,0,0,,,
1.05,1,1,,,
1.1,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1,1,1,,,
1.2,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1.15,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1.15,1,1,,,
1,1,1,,,
1.2,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.15,1,1,,,
1.1,0,0,,,
1,0,0,,,
1.1,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.15,1,1,,,
1.1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.1,1,1,,,
1,1,1,,,
1.15,1,1,,,
1.05,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1.1,1,1,,,
1.2,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1.1,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.1,1,1,,,
1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1,0,0,,,
1,1,1,,,
1,0,0,,,
1.15,1,1,,,
1,0,0,,,
1.15,1,1,,,
1,0,0,,,
1.2,0,0,,,
1.1,1,1,,,
1.1,0,0,,,
1.1,1,1,,,
1.05,1,1,,,
1.05,0,0,,,
1,1,1,,,
1,1,1,,,
1,0,0,,,
1.15,0,0,,,
1.1,1,1,,,
1.2,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.05,1,1,,,
1,0,0,,,
1.1,0,0,,,
1,1,1,,,
1,0,0,,,
1.05,1,1,,,
1.1,1,1,,,
1.05,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.15,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.05,1,1,,,
1.05,1,1,,,
1.15,1,1,,,
1.05,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1,0,0,,,
1.1,0,0,,,
1.15,1,1,,,
1.05,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.1,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1,1,1,,,
1,0,0,,,
1.2,0,0,,,
1.15,1,1,,,
1.15,0,0,,,
1,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1,1,1,,,
1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.2,1,1,,,
1.05,1,1,,,
1.15,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1,0,0,,,
1,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1.2,1,1,,,
1,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1,1,1,,,
1,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.15,1,1,,,
1.1,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.2,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.05,0,0,,,
1.1,1,1,,,
1.2,0,0,,,
1.05,0,0,,,
1.15,1,1,,,
1.1,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.15,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,0,0,,,
1.1,1,1,,,
1.05,1,1,,,
1.1,1,1,,,
1.1,1,1,,,
1.2,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.15,1,1,,,
1.15,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1.2,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.05,0,0,,,
1.15,1,1,,,
1.1,1,1,,,
1,1,1,,,
1.05,0,0,,,
1,1,1,,,
1.2,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.15,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.2,0,0,,,
1.1,1,1,,,
1.2,0,0,,,
1.1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.1,1,1,,,
1.2,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.2,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1,0,0,,,
1.1,1,1,,,
1,0,0,,,
1,0,0,,,
1.15,0,0,,,
1,1,1,,,
1,1,1,,,
1,1,1,,,
1.05,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.1,1,1,,,
1.05,0,0,,,
1.15,1,1,,,
1.1,0,0,,,
1,1,1,,,
1,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.15,1,1,,,
1.2,0,0,,,
1,0,0,,,
1.1,1,1,,,
1.05,1,1,,,
1,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.2,1,1,,,
1,1,1,,,
1.05,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.05,1,1,,,
1.15,0,0,,,
1,1,1,,,
1.05,1,1,,,
1.05,0,0,,,
1,1,1,,,
1,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.2,0,0,,,
1.1,0,0,,,
1.15,1,1,,,
1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.15,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.2,1,1,,,
1,1,1,,,
1,0,0,,,
1.05,1,1,,,
1.15,1,1,,,
1.05,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.05,1,1,,,
1.15,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.05,0,0,,,
1.2,0,0,,,
1.1,1,1,,,
1.05,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.05,0,0,,,
1,1,1,,,
1,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.2,0,0,,,
1,0,0,,,
1.15,1,1,,,
1.05,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1.05,0,0,,,
1.15,1,1,,,
1.05,1,1,,,
1.1,0,0,,,
1.15,1,1,,,
1.2,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.1,1,1,,,
1.15,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.15,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.15,0,0,,,
1,1,1,,,
1.2,0,0,,,
1.1,1,1,,,
1.15,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1,1,1,,,
1.05,1,1,,,
1.15,0,0,,,
1.1,1,1,,,
1.05,1,1,,,
1,0,0,,,
1.05,1,1,,,
1.05,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1,1,1,,,
1,1,1,,,
1.05,1,1,,,
1,1,1,,,
1,0,0,,,
1,1,1,,,
1.05,0,0,,,
1.05,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.2,1,1,,,
1.05,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.1,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.2,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.2,0,0,,,
1.1,1,1,,,
1,1,1,,,
1.2,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1,0,0,,,
1,0,0,,,
1.2,0,0,,,
1.1,0,0,,,
1.05,0,0,,,
1.1,0,0,,,
1,1,1,,,
1.1,1,1,,,
1.1,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.05,1,1,,,
1.1,1,1,,,
1,1,1,,,
1.2,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.1,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.15,1,1,,,
1.1,0,0,,,
1.2,1,1,,,
1,1,1,,,
1.2,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1.2,0,0,,,
1.15,0,0,,,
1.15,0,0,,,
1,1,1,,,
1.05,0,0,,,
1,1,1,,,
1.1,0,0,,,
1.2,0,0,,,
1,1,1,,,
1.15,1,1,,,
1.2,0,0,,,
1,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.15,0,0,,,
1.15,1,1,,,
1,1,1,,,
1.15,0,0,,,
1.05,0,0,,,
1.15,1,1,,,
1,0,0,,,
1.1,1,1,,,
1,1,1,,,
1.05,0,0,,,
1,0,0,,,
1,1,1,,,
1.05,1,1,,,
1.15,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.15,0,0,,,
1,0,0,,,
1.15,0,0,,,
1.05,0,0,,,
1.05,1,1,,,
1.2,0,0,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
